Title,Handle,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Status,Collection
Kothavarangai Vathal,kothavarangai-vathal,<p>Sun-dried cluster beans (kothavarangai) prepared the traditional way. These vathals add a unique texture and flavor to sambars and curries.</p><ul><li>Premium cluster beans</li><li>Sun-dried for preservation</li><li>Perfect for sambar and curries</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vathal,"vathal, kothavarangai, cluster-beans, sun-dried, traditional, curry, sambar",TRUE,Weight,250g,,,,,HOK-VATHAL-001,100,shopify,100,deny,manual,90,110,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Kothavarangai Vathal - Sun-Dried Cluster Beans,FALSE,Kothavarangai Vathal | Sun-Dried Cluster Beans | House of Kumaran,Traditional Kothavarangai Vathal sun-dried cluster beans. Perfect for sambar and curries. Traditional preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VATHAL-001,new,active,Vadams & Appalam
Sundakkai Vathal,sundakkai-vathal,<p>Dried turkey berry (sundakkai) with amazing health benefits. Known to aid digestion and control diabetes. A must-have in South Indian kitchens.</p><ul><li>Premium sundakkai (turkey berry)</li><li>Aids digestion</li><li>Traditional medicinal food</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vathal,"vathal, sundakkai, turkey-berry, sun-dried, traditional, healthy, medicinal, digestion",TRUE,Weight,250g,,,,,HOK-VATHAL-002,100,shopify,100,deny,manual,120,150,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Sundakkai Vathal - Sun-Dried Turkey Berry,FALSE,Sundakkai Vathal | Sun-Dried Turkey Berry | House of Kumaran,Healthy Sundakkai Vathal with digestive benefits. Traditional medicinal food. Premium quality sun-dried.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VATHAL-002,new,active,Vadams & Appalam
Moremilagai Vathal,moremilagai-vathal,"<p>Buttermilk-soaked sun-dried green chilies. These tangy, spicy chilies are a perfect accompaniment for curd rice and add zing to any meal.</p><ul><li>Soaked in traditional buttermilk</li><li>Tangy and spicy</li><li>Perfect with curd rice</li></ul>",House of Kumaran,Food & Beverages > Food Items > Snacks,Vathal,"vathal, moremilagai, buttermilk-chilli, sun-dried, traditional, tangy, spicy, curd-rice",TRUE,Weight,250g,,,,,HOK-VATHAL-003,100,shopify,100,deny,manual,100,120,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Moremilagai Vathal - Buttermilk Dried Chilli,FALSE,Moremilagai Vathal | Buttermilk Sun-Dried Chilli | House of Kumaran,Tangy Moremilagai Vathal soaked in buttermilk. Perfect with curd rice. Traditional sun-dried preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VATHAL-003,new,active,Vadams & Appalam
Manathakalli Vathal,manathakalli-vathal,<p>Dried black nightshade (manathakalli) berries with numerous health benefits. Known for treating mouth ulcers and digestive issues in traditional medicine.</p><ul><li>Premium manathakalli berries</li><li>Treats mouth ulcers</li><li>Traditional medicinal food</li></ul>,House of Kumaran,Food & Beverages > Food Items > Snacks,Vathal,"vathal, manathakalli, black-nightshade, sun-dried, traditional, healthy, medicinal, ulcer-healing",TRUE,Weight,250g,,,,,HOK-VATHAL-004,100,shopify,100,deny,manual,150,180,TRUE,TRUE,,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=800,1,Manathakalli Vathal - Sun-Dried Black Nightshade,FALSE,Manathakalli Vathal | Sun-Dried Black Nightshade | House of Kumaran,Medicinal Manathakalli Vathal with health benefits. Treats mouth ulcers. Traditional preparation.,Food Beverages & Tobacco > Food Items > Snacks,Unisex,Adult,HOK-VATHAL-004,new,active,Vadams & Appalam
Rava Idly Mix,rava-idly-mix,"<p>Instant rava idly mix for soft, fluffy idlies in minutes. No fermentation required. Just add curd and make perfect rava idlies every time.</p><ul><li>Instant preparation - no fermentation</li><li>Soft and fluffy texture</li><li>Just add curd and water</li></ul>",House of Kumaran,Food & Beverages > Food Items > Grains Rice & Cereal > Flour,Ready-to-Mix,"ready-to-mix, idly, rava, instant, breakfast, south-indian, quick, convenient, no-fermentation",TRUE,Weight,250g,,,,,HOK-MIX-004,500,shopify,100,deny,manual,130,150,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Rava Idly Mix - Instant Idly Preparation,FALSE,Rava Idly Mix | Instant Idly Mix | House of Kumaran,Make soft fluffy Rava Idly in minutes. No fermentation required. Just add curd and enjoy.,Food Beverages & Tobacco > Food Items > Grains Rice & Cereal,Unisex,Adult,HOK-MIX-004,new,active,Ready-to-Mix
Rice Upma Mix,rice-upma-mix,"<p>Wholesome rice upma mix for a healthy, filling breakfast. Made with broken rice and aromatic spices. Ready in just 10 minutes.</p><ul><li>Made with broken rice</li><li>Pre-mixed spices</li><li>Ready in 10 minutes</li></ul>",House of Kumaran,Food & Beverages > Food Items > Grains Rice & Cereal > Flour,Ready-to-Mix,"ready-to-mix, upma, rice, instant, breakfast, south-indian, quick, healthy",TRUE,Weight,250g,,,,,HOK-MIX-005,500,shopify,100,deny,manual,120,140,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Rice Upma Mix - Healthy Breakfast Mix,FALSE,Rice Upma Mix | Healthy Breakfast Mix | House of Kumaran,Wholesome Rice Upma Mix ready in 10 minutes. Made with broken rice and aromatic spices. Healthy breakfast option.,Food Beverages & Tobacco > Food Items > Grains Rice & Cereal,Unisex,Adult,HOK-MIX-005,new,active,Ready-to-Mix
Pulikaichal,pulikaichal,"<p>Ready-to-use tamarind paste concentrate for authentic South Indian cooking. Perfect base for Puliyodarai, sambar, and rasam.</p><ul><li>Concentrated tamarind paste</li><li>Ready to use</li><li>Authentic temple recipe</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Ready-to-Mix,"ready-to-mix, pulikaichal, tamarind, paste, puliyodarai, temple-food, traditional",TRUE,Weight,250g,,,,,HOK-MIX-006,250,shopify,100,deny,manual,140,170,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Pulikaichal - Tamarind Paste Concentrate,FALSE,Pulikaichal | Tamarind Paste Concentrate | House of Kumaran,Ready-to-use Pulikaichal tamarind paste for authentic cooking. Perfect for Puliyodarai and sambar. Temple recipe.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-MIX-006,new,active,Ready-to-Mix
Vatha Kuzhambu Paste,vatha-kuzhambu-paste,<p>Ready-to-cook paste for authentic Vatha Kuzhambu. Just add vegetables and cook for a perfect tangy-spicy curry in minutes.</p><ul><li>Ready-to-cook paste</li><li>Authentic recipe</li><li>Just add vegetables</li></ul>,House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Ready-to-Mix,"ready-to-mix, vatha-kuzhambu, paste, curry, traditional, instant, tangy",TRUE,Weight,250g,,,,,HOK-MIX-007,250,shopify,100,deny,manual,150,180,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Vatha Kuzhambu Paste - Instant Curry Base,FALSE,Vatha Kuzhambu Paste | Instant Curry Base | House of Kumaran,Ready-to-cook Vatha Kuzhambu Paste. Authentic tangy-spicy curry in minutes. Just add vegetables.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-MIX-007,new,active,Ready-to-Mix
Milagu Kuzhambu Paste,milagu-kuzhambu-paste,"<p>Pepper-based curry paste for the warming Milagu Kuzhambu. Known for its medicinal properties, perfect for cold weather and sore throats.</p><ul><li>Black pepper based</li><li>Warming and medicinal</li><li>Perfect for cold weather</li></ul>",House of Kumaran,Food & Beverages > Food Items > Condiments & Sauces > Spice Pastes & Curry Pastes,Ready-to-Mix,"ready-to-mix, milagu-kuzhambu, pepper, paste, curry, traditional, medicinal, warming",TRUE,Weight,250g,,,,,HOK-MIX-008,250,shopify,100,deny,manual,150,180,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Milagu Kuzhambu Paste - Pepper Curry Base,FALSE,Milagu Kuzhambu Paste | Pepper Curry Base | House of Kumaran,Warming Milagu Kuzhambu Paste with black pepper. Medicinal properties. Perfect for cold weather.,Food Beverages & Tobacco > Food Items > Condiments & Sauces,Unisex,Adult,HOK-MIX-008,new,active,Ready-to-Mix
Rava Dosa Mix,rava-dosa-mix,"<p>Instant rava dosa mix for crispy, lacy dosas in minutes. Just add water and make perfect dosas every time. Includes rava, rice flour, and spices.</p><ul><li>Instant preparation</li><li>Crispy lacy texture</li><li>Pre-mixed spices included</li></ul>",House of Kumaran,Food & Beverages > Food Items > Grains Rice & Cereal > Flour,Ready-to-Mix,"ready-to-mix, dosa, rava, instant, breakfast, south-indian, quick, convenient",TRUE,Weight,250g,,,,,HOK-MIX-001,500,shopify,100,deny,manual,140,160,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Rava Dosa Mix - Instant Dosa Preparation,FALSE,Rava Dosa Mix | Instant Dosa Mix | House of Kumaran,Make crispy lacy Rava Dosa in minutes. Just add water. Instant mix with pre-mixed spices included.,Food Beverages & Tobacco > Food Items > Grains Rice & Cereal,Unisex,Adult,HOK-MIX-001,new,active,Ready-to-Mix
Adai Mix,adai-mix,"<p>Protein-packed multi-lentil dosa mix. Contains toor dal, chana dal, urad dal, and rice. Perfect for a healthy, filling breakfast.</p><ul><li>Multi-lentil blend</li><li>High protein content</li><li>Healthy breakfast option</li></ul>",House of Kumaran,Food & Beverages > Food Items > Grains Rice & Cereal > Flour,Ready-to-Mix,"ready-to-mix, adai, lentil, protein, healthy, breakfast, new-arrival, south-indian",TRUE,Weight,250g,,,,,HOK-MIX-002,500,shopify,100,deny,manual,160,180,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Adai Mix - Multi-Lentil Dosa Mix,FALSE,Adai Mix | Protein Rich Lentil Dosa Mix | House of Kumaran,Protein-packed Adai Mix with multiple lentils. Healthy filling breakfast option. Traditional South Indian recipe.,Food Beverages & Tobacco > Food Items > Grains Rice & Cereal,Unisex,Adult,HOK-MIX-002,new,active,Ready-to-Mix
Satthu Mavu,satthu-mavu,"<p>Nutritious health mix powder made with roasted grains, millets, nuts, and dry fruits. Perfect for children and adults. Mix with milk for a wholesome drink.</p><ul><li>Multi-grain health mix</li><li>Includes nuts and dry fruits</li><li>Perfect for all ages</li></ul>",House of Kumaran,Food & Beverages > Food Items > Grains Rice & Cereal > Flour,Ready-to-Mix,"ready-to-mix, health-mix, satthu-mavu, bestseller, nutritious, protein-rich, multigrain, kids",TRUE,Weight,250g,,,,,HOK-MIX-003,500,shopify,100,deny,manual,180,200,TRUE,TRUE,,https://images.unsplash.com/photo-1630383249896-424e482df921?w=800,1,Satthu Mavu - Nutritious Health Mix,FALSE,Satthu Mavu | Nutritious Health Mix Powder | House of Kumaran,Multi-grain Satthu Mavu health mix with nuts and dry fruits. Nutritious drink mix perfect for all ages.,Food Beverages & Tobacco > Food Items > Grains Rice & Cereal,Unisex,Adult,HOK-MIX-003,new,active,Ready-to-Mix
